City Name,Country,Date (Unix Time),Longitude,Latitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Kutum,SD,1578327074,24.66,14.2,76.8,17,67,7.02
Mount Gambier,AU,1578326807,140.78,-37.83,50.0,93,0,5.82
Javanrud,IR,1578326826,46.49,34.8,26.64,89,81,1.72
Arcata,US,1578327075,-124.08,40.87,39.0,93,40,8.05
Craigieburn,AU,1578327075,144.94,-37.6,63.0,87,90,9.17
Irbeyskoye,RU,1578327075,95.45,55.64,20.39,84,100,1.21
Ukiah,US,1578327075,-123.21,39.15,43.0,100,1,3.0
Dolinsk,RU,1578327075,142.8,47.32,19.4,85,40,6.71
Aswan,EG,1578326870,32.9,24.09,60.8,26,0,4.7
Lata,IN,1578327076,78.62,30.78,19.33,98,100,4.54
Moses Lake,US,1578327076,-119.28,47.13,43.0,69,90,8.05
Immenstadt,DE,1578327076,10.22,47.56,41.0,64,0,4.7
Felanitx,ES,1578327077,3.15,39.47,59.0,72,75,3.36
Mazagao,BR,1578326824,-51.29,-0.12,84.2,83,75,8.05
Koslan,RU,1578327078,48.9,63.46,5.95,94,82,7.34
Opuwo,NA,1578327078,13.84,-18.06,80.65,46,72,12.48
Tank,PK,1578327078,70.39,32.22,48.38,82,100,5.66
Tocopilla,CL,1578327078,-70.2,-22.09,71.13,38,0,13.42
Vanavara,RU,1578327079,102.28,60.35,17.31,93,100,9.48
Lipin Bor,RU,1578327079,37.97,60.26,23.59,92,100,8.16
Miles City,US,1578327079,-105.84,46.41,37.4,37,90,24.16
Tres Coroas,BR,1578327079,-50.78,-29.52,100.99,54,26,6.93
Avanigadda,IN,1578326988,80.92,16.02,78.8,83,75,3.36
Cesky Dub,CZ,1578327080,15.0,50.66,37.4,69,75,9.17
Sisimiut,GL,1578326811,-53.67,66.94,-13.65,95,100,5.7
Banjar,ID,1578327082,108.54,-7.37,75.43,93,100,1.88
Dinguiraye,GN,1578327083,-10.71,11.29,92.52,8,85,2.86
Isangel,VU,1578327083,169.27,-19.55,77.0,78,97,8.05
Baculin,PH,1578327083,126.58,7.45,72.7,97,100,5.23
Amapa,HN,1578327084,-87.97,15.09,73.4,78,75,2.24
Takapau,NZ,1578327084,176.35,-40.02,52.0,74,41,14.0
Kedrovyy,RU,1578327084,91.82,56.17,15.8,85,84,2.24
Changli,CN,1578327085,105.42,30.54,47.32,68,100,0.67
Merauke,ID,1578326897,140.4,-8.49,75.78,95,83,4.38
Koumac,NC,1578327086,164.28,-20.56,71.24,88,64,4.34
Lavrentiya,RU,1578327086,-170.99,65.58,-7.78,77,100,1.9
Port Macquarie,AU,1578327087,152.91,-31.43,73.0,94,75,3.36
Boende,CD,1578326999,20.88,-0.28,91.51,39,67,5.21
Ust-Nera,RU,1578327087,143.24,64.57,-28.41,100,100,1.77
Caravelas,BR,1578326886,-39.27,-17.73,84.61,75,100,9.75
Cabedelo,BR,1578327087,-34.84,-6.97,87.8,43,40,9.17
Elat,CM,1578327088,11.16,2.91,89.82,32,35,3.13
Nanortalik,GL,1578327088,-45.24,60.14,12.85,74,0,44.25
Makakilo City,US,1578327089,-158.09,21.35,77.0,73,75,5.82
Zhigalovo,RU,1578327089,105.15,54.81,10.67,96,100,2.84
Dvinskoy,RU,1578327089,45.12,62.16,12.76,89,100,5.61
Lumby,CA,1578327090,-118.97,50.25,32.0,96,90,4.21
Taseyevo,RU,1578327090,94.9,57.22,17.2,94,95,2.84
Bana,CM,1578327090,10.29,5.14,90.3,20,0,3.8
Tabatinga,BR,1578327090,-48.69,-21.74,82.92,65,12,8.99
Mugumu,TZ,1578327090,34.67,-1.84,69.64,88,100,6.13
Coquimbo,CL,1578327091,-71.34,-29.95,69.8,64,0,11.41
Apex,US,1578326829,-78.85,35.73,55.0,40,1,5.82
Sala Consilina,IT,1578327091,15.6,40.4,48.2,36,20,13.87
Qaqortoq,GL,1578327091,-46.03,60.72,3.2,31,20,2.24
Jinchang,CN,1578327092,102.19,38.52,17.8,55,100,2.71
Taunsa,PK,1578327092,70.65,30.7,48.11,80,99,8.37
Rocha,UY,1578327092,-54.34,-34.48,83.88,38,63,21.25
Manakara,MG,1578327092,48.01,-22.14,78.78,88,8,4.88
Sabang,PH,1578327093,121.11,13.8,78.01,84,10,5.99
Kamenka,MD,1578327093,28.7,48.03,30.99,68,58,7.31
Port Hedland,AU,1578327078,118.58,-20.31,87.8,48,90,12.75
Yenagoa,NG,1578326865,6.26,4.92,99.99,19,48,3.11
Sarangani,PH,1578327094,125.46,5.4,77.04,89,100,8.48
Guymon,US,1578327094,-101.48,36.68,41.0,52,1,13.87
Mahajanga,MG,1578326874,46.32,-15.72,84.2,79,20,9.17
Batemans Bay,AU,1578327090,150.18,-35.71,64.99,95,100,1.34
Dembi Dolo,ET,1578327095,34.8,8.53,82.67,36,19,7.58
Pedernales,EC,1578327096,-80.05,0.07,79.56,71,98,3.44
Nerang,AU,1578327096,153.34,-27.99,78.01,78,90,4.7
Codrington,AU,1578327096,153.24,-28.95,72.0,83,90,2.08
Labuhan,ID,1578327097,115.51,-2.54,75.33,93,100,2.15
Riyadh,SA,1578327097,46.72,24.63,57.2,62,0,4.7
Livingstonia,MW,1578327097,34.11,-10.61,68.07,92,100,1.77
Son La,VN,1578327097,103.9,21.32,63.25,92,5,1.57
Alexandria,RO,1578326806,25.33,43.97,30.99,85,81,1.01
Tessalit,ML,1578327072,1.01,20.2,74.79,9,38,7.0
Los Llanos de Aridane,ES,1578327097,-17.92,28.66,66.2,68,75,9.17
Vanimo,PG,1578326899,141.3,-2.67,82.83,82,83,10.96
Arlit,NE,1578327098,7.39,18.74,77.63,10,0,2.71
Nioro,GM,1578327099,-15.05,13.79,89.74,6,33,13.15
Saurimo,AO,1578327099,20.4,-9.66,74.91,78,100,3.62
Denpasar,ID,1578327099,115.22,-8.65,82.4,88,40,16.11
Fengrun,CN,1578327099,118.12,39.83,27.0,76,100,5.46
Okha,RU,1578327099,142.95,53.59,5.86,88,57,10.65
Naron,ES,1578327100,-8.15,43.52,55.99,76,75,4.7
Padang,ID,1578327100,100.36,-0.92,69.04,92,100,3.56
Umba,RU,1578327100,34.34,66.69,27.39,90,100,14.12
San Ramon,NI,1578327100,-85.84,12.92,66.2,88,75,13.87
Rio de Janeiro,BR,1578326820,-43.21,-22.91,93.2,78,20,5.82
Khakhea,BW,1578327101,23.5,-24.69,93.92,20,94,12.66
Xinan,CN,1578327102,113.89,22.55,73.0,83,40,10.29
Athabasca,CA,1578327102,-113.29,54.72,-0.45,80,0,7.7
Santa Rosa,AR,1578327102,-64.29,-36.62,74.64,19,0,22.12
Bulgan,MN,1578327103,103.53,48.81,-1.19,79,0,3.96
Aguimes,ES,1578327103,-15.45,27.91,68.0,60,75,21.92
Belaya Rechka,RU,1578327104,43.54,43.44,26.6,100,90,1.66
Te Anau,NZ,1578327104,167.72,-45.41,45.14,84,100,5.14
Marion,US,1578327104,-90.2,35.21,51.01,53,1,16.11
Puerto Ayacucho,CO,1578327105,-67.63,5.66,86.0,62,0,12.75
Nuevitas,CU,1578327105,-77.27,21.55,75.2,57,20,17.22
Iskateley,RU,1578327105,53.15,67.68,13.84,90,100,18.03
Balkanabat,TM,1578327106,54.36,39.51,40.08,67,64,4.18
Garowe,SO,1578327106,48.48,8.41,87.24,35,0,3.71
Ferrol,ES,1578327108,-8.23,43.48,55.99,76,75,4.7
Mbandaka,CD,1578327108,18.26,0.05,93.78,33,84,1.52
Shingu,JP,1578327108,135.99,33.72,47.97,56,2,5.84
Tadpatri,IN,1578327109,78.02,14.92,73.63,82,41,13.76
Russell,US,1578327109,-98.86,38.9,33.01,79,1,8.05
Cervo,BR,1578327109,-46.24,-22.19,77.0,78,40,6.93
Aksu,KZ,1578327109,76.93,52.04,15.8,100,90,2.24
Kribi,CM,1578327110,9.91,2.94,84.24,71,54,9.19
Kjollefjord,NO,1578327110,27.35,70.95,21.2,79,7,11.41
Zhigansk,RU,1578327111,123.37,66.77,-3.91,96,100,22.93
Souillac,FR,1578326816,-0.6,45.6,42.8,93,90,5.82
Hastings,NZ,1578327111,176.84,-39.64,57.99,58,62,15.79
Avera,US,1578327111,-82.53,33.19,55.99,47,1,4.7
Mucurapo,TT,1578327112,-61.53,10.67,84.0,74,75,9.17
Taicheng,CN,1578327112,112.8,22.25,69.01,83,77,3.0
Provideniya,RU,1578327112,-173.23,64.42,-9.36,84,100,4.54
Ostrovnoy,RU,1578326838,39.51,68.05,17.98,92,100,14.5
Saint-Pierre,FR,1578326896,4.24,48.95,41.0,86,0,14.99
Cabadiangan,PH,1578327113,123.98,10.45,80.6,78,90,10.29
Hakui,JP,1578327113,136.78,36.89,37.99,70,40,1.12
Timbuktu,ML,1578327113,-3.01,16.77,79.09,10,0,9.82
Abu Samrah,SY,1578327114,37.18,35.3,51.1,73,0,3.6
Lumajang,ID,1578327114,113.22,-8.14,63.84,92,100,1.74
Pano Polemidia,CY,1578327114,33.0,34.7,61.0,72,75,21.92
Pedro Leopoldo,BR,1578327114,-44.04,-19.62,82.4,65,40,10.29
Tala,MX,1578327115,-103.7,20.65,55.99,50,40,3.15
Yar-Sale,RU,1578327115,70.83,66.83,6.91,86,0,15.66
Cairns,AU,1578326985,145.77,-16.92,79.0,83,40,6.93
Usinsk,RU,1578327116,57.56,66.0,9.57,95,100,13.51
Santa Isabel do Rio Negro,BR,1578327116,-65.02,-0.41,91.81,48,16,4.88
Salekhard,RU,1578327116,66.62,66.54,4.78,86,52,10.0
Sonoita,US,1578327117,-110.66,31.68,48.0,42,1,10.29
Kasongo-Lunda,CD,1578327084,16.82,-6.48,85.98,51,82,2.8
Newport,GB,1578327117,-3.0,51.59,51.01,93,75,18.34
Praia,BR,1578327118,-43.81,-20.25,82.4,42,75,8.05
